IDs,tsne dim 1,tsne dim 2,Clusters
DE-02-1883-H1,-14.923449,-0.13690795,-1
IT-02-0320-H1,2.412962,0.35642272,7
CZ-01-0338-H1,4.8215137,-21.331573,1
IT-02-0295-H1,-3.4016547,18.186335,5
DE-02-0441-H1,-3.7062175,17.65285,5
DE-02-4286-H1,2.8681557,4.6828628,7
UK-01-0820-H1,-3.705901,17.653118,5
RU-01-0002-H1,-20.520266,-5.3029532,-1
GR-02-0757-H1,-19.26852,-6.211659,-1
DE-02-1374-H1,5.9886427,-5.8629546,-1
DE-02-3776-H2,-3.3055727,-1.3268542,-1
DE-03-4392-H1,-3.402798,18.184631,5
DE-02-4700-H1,2.3424447,-17.197592,0
DE-02-2770-H1,2.4481626,-16.16773,0
GR-02-0732-H1,1.0609826,1.6689878,7
DE-02-0427-H1,2.3424447,-17.197592,0
GR-03-0402-H1,-3.4022424,18.185411,5
US-01-0469-H1,-3.402505,18.184954,5
UK-01-0423-H1,-13.999328,-3.8960319,-1
DK-01-0963-H1,4.8215137,-21.331573,1
NY-01-0428-H1,-16.710936,-5.087413,-1
RU-01-0198-H1,-3.402789,18.184591,5
DE-03-3514-H1,-2.520474,-3.9652944,-1
SR-01-0143-H1,4.8215137,-21.331573,1
DE-03-3306-H1,2.293941,-23.446035,-1
NY-01-0620-H1,-17.428823,-1.8166853,13
UK-01-0592-H1,-3.7058866,17.653242,5
US-01-0696-H1,2.136024,6.214529,7
SE-01-0717-H1,-3.402779,18.184649,5
DK-01-1047-H1,-10.052689,0.3266098,10
DE-02-2109-H1,-12.405081,-6.996115,-1
GR-01-0995-H1,-7.9720187,6.4243827,-1
PL-01-0332-H1,-6.813764,4.52563,-1
DE-02-1584-H1,-3.4016156,18.186321,5
RU-01-0733-H1,4.8215137,-21.331573,1
IT-07-0324-H1,-15.534527,-2.049393,-1
IT-05-0367-H1,-11.401895,0.36886838,10
DE-03-0666-H1,-5.866159,7.487611,-1
DE-03-1885-H1,-3.7060807,17.652964,5
CZ-01-1428-H1,-13.627926,-1.9531034,-1
DE-02-0307-H1,-17.624744,-6.385362,-1
DE-02-2890-H1,-3.4021325,18.185614,5
FR-01-0668-H1,4.329242,-16.190449,-1
DE-02-1650-H1,-7.3960004,-5.0495987,10
DE-02-5005-H1,-3.4014726,18.186724,5
NL-01-1091-H1,2.3424447,-17.197592,0
DE-02-1075-H1,-3.4025474,18.18477,5
US-01-0517-H1,-11.240452,9.813427,-1
DK-01-0652-H1,-19.078484,-6.571388,-1
GR-02-0772-H1,-3.4019341,18.185898,5
NY-01-0840-H1,-3.4019268,18.186073,5
NL-01-0710-H1,-3.4006574,18.187765,5
DE-02-0250-H1,-6.2708106,-2.6776545,-1
IT-02-0722-H1,-3.4021425,18.18565,5
DE-03-2921-H1,-16.506672,-2.0936518,13
UK-01-0076-H1,-6.1188235,-8.678663,-1
US-01-0058-H1,-19.120604,-6.2403693,-1
NL-01-0518-H1,-19.82705,-9.749567,12
DK-01-0236-H1,-3.4028947,18.184505,5
DE-02-4940-H1,-3.4026234,18.18484,5
DK-01-0433-H1,-3.4011846,18.186964,5
DE-03-1833-H1,-3.402007,18.18598,5
GR-01-0943-H1,-3.705936,17.653124,5
DE-02-0020-H1,-3.4022882,18.185345,5
DE-02-2033-H1,1.0376258,-5.878348,-1
DE-03-4813-H1,-3.4024522,18.18499,5
NL-01-0723-H1,-6.402555,-6.4194465,10
DE-02-0166-H1,-3.4022162,18.185404,5
GR-01-0359-H1,-14.338806,1.6035315,-1
DK-01-0084-H1,-8.217341,-6.3577075,-1
AT-01-0023-H1,-9.367309,-2.6343074,-1
NY-01-0992-H2,-3.2944114,-1.2794772,-1
GR-02-0577-H1,-10.68248,-7.9987783,9
DE-02-3729-H1,-14.284739,-10.062605,11
DE-03-4833-H1,-3.4026432,18.184744,5
SR-01-0051-H1,-10.694108,-7.9964848,9
IT-02-0269-H1,-3.402752,18.184614,5
DE-03-4042-H1,-3.4028013,18.184591,5
DE-03-0797-H1,-8.257047,-6.553633,-1
FR-01-0324-H1,1.5146858,-19.981195,0
NL-04-0109-H1,-17.707312,-1.448997,13
DE-03-4246-H1,-8.236971,-2.9292533,10
FR-01-1169-H1,-3.401644,18.186312,5
RU-01-0463-H1,-3.4025848,18.18475,5
IT-06-0065-H1,-15.525386,-10.453972,11
DE-02-1694-H1,-6.545024,-5.469111,10
FR-01-0122-H1,-9.936226,-5.620052,-1
CZ-01-1134-H1,6.9335957,-7.045519,-1
DE-03-1065-H1,-22.528711,-8.523796,-1
DE-02-0502-H1,-14.311376,-9.997834,11
IT-02-0689-H1,3.2628193,4.9367194,7
NL-01-0091-H1,-3.4025552,18.184715,5
DE-02-3685-H2,-3.4019508,18.185923,5
CZ-01-0865-H1,4.9926805,-23.450663,1
DE-03-0773-H1,-22.017014,-10.33173,12
SR-01-0016-H1,-3.4020598,18.185804,5
DK-01-0315-H1,-6.562721,-5.590287,10
NL-01-0024-H1,-23.140518,-9.940451,-1
DE-02-1807-H1,-0.37733078,1.6874228,7
DE-03-3444-H1,-17.501646,-14.08043,15
UK-01-0068-H1,2.7707272,4.867774,7
DK-01-1295-H1,-15.636003,-3.861227,-1
DE-02-2784-H1,-3.0270028,4.9199076,-1
DK-01-1309-H1,-3.4026232,18.18494,5
IT-01-0308-H1,-3.4025762,18.184683,5
DE-03-4278-H1,-21.199598,-8.303573,-1
DE-01-0374-H1,-17.382826,-13.349784,15
IT-07-0081-H1,2.3019865,-20.48564,0
SE-01-0192-H1,-18.071665,1.7973101,14
UK-01-0595-H1,-3.4021246,18.185675,5
DE-03-2330-H1,-3.402948,18.184551,5
UK-03-0386-H1,-22.100975,-10.481298,-1
DE-02-1082-H1,-3.402779,18.184649,5
NY-01-1003-H1,-3.401971,18.185963,5
NL-01-0094-H1,-3.7060807,17.652964,5
NL-01-0190-H2,-3.401644,18.186312,5
DE-02-3425-H1,-14.991314,-6.039316,-1
US-01-0741-H1,-15.383996,-10.576616,11
DE-03-2985-H1,-15.525386,-10.453972,11
GR-01-0072-H1,5.2756615,5.9854817,-1
CZ-01-0687-H1,-3.3055727,-1.3268542,-1
DK-01-1197-H1,-3.4025047,18.184956,5
FR-01-1066-H1,-3.4024663,18.184914,5
GR-01-0146-H1,-3.402644,18.18477,5
DK-01-0382-H1,-3.7058797,17.653057,5
NL-01-0577-H1,-14.596711,-15.787204,16
US-01-0372-H1,1.3475757,-20.68945,0
DE-02-0438-H1,4.8215137,-21.331573,1
DE-03-0138-H1,-3.4029386,18.184359,5
DE-02-0304-H1,-3.4028213,18.184504,5
GR-01-0934-H1,-3.4026637,18.184734,5
DE-03-2675-H1,-17.423756,-14.114647,15
UK-01-0259-H1,-3.402844,18.184696,5
DE-03-2987-H1,-3.4029343,18.184517,5
SE-01-1240-H1,4.329242,-16.190449,-1
UK-03-0382-H1,-10.231196,-16.937695,-1
IT-01-0013-H1,-3.4028606,18.184513,5
ES-01-0101-H1,-15.328749,-1.2598761,-1
