IDs,tsne dim 1,tsne dim 2,Cluster
UK-01-0595-H1,17.339045,8.150382,7
DE-03-2330-H1,17.062593,7.575416,7
UK-03-0386-H1,2.5383546,-24.241573,24
DE-02-1082-H1,17.073246,7.581245,7
NY-01-1003-H1,17.059168,7.5751667,7
NL-01-0094-H1,17.062714,7.575717,7
NL-01-0190-H2,17.062494,7.5754023,7
DE-02-3425-H1,5.303907,-15.623291,-1
US-01-0741-H1,-1.0029846,-17.875488,19
DE-03-2985-H1,-0.69089246,-17.924303,19
GR-01-0072-H1,2.7780683,7.4672923,-1
CZ-01-0687-H1,2.0389721,-4.455002,17
DK-01-1197-H1,17.33903,8.1503315,7
FR-01-1066-H1,17.338959,8.150322,7
GR-01-0146-H1,17.338959,8.150261,7
DK-01-0382-H1,17.058638,7.5743074,7
NL-01-0577-H1,-6.012298,-18.33943,21
US-01-0372-H1,-19.688347,-8.689085,5
DE-02-0438-H1,-19.889574,-11.876656,4
DE-03-0138-H1,17.06245,7.575357,7
DE-02-0304-H1,17.062544,7.575477,7
GR-01-0934-H1,17.062485,7.575396,7
DE-03-2675-H1,-3.2465346,-20.501493,22
UK-01-0259-H1,17.062891,7.5757627,7
DE-03-2987-H1,17.062637,7.575472,7
SE-01-1240-H1,-16.49374,-5.965842,-1
UK-03-0382-H1,1.3594567,-25.08505,-1
IT-01-0013-H1,17.062744,7.575738,7
ES-01-0101-H1,8.118704,-13.348197,-1
IT-02-0213-H1,17.339022,8.150356,7
DE-03-2316-H1,17.338984,8.150308,7
DE-03-4089-H1,17.338978,8.15029,7
UK-03-0073-H1,-19.889574,-11.876656,4
NY-01-0388-H1,13.9696045,-10.662882,20
DE-01-0202-H1,-0.4721188,2.3064942,-1
ES-01-0570-H1,2.7317977,-11.16634,23
DE-03-1918-H1,-4.7300897,-17.528336,-1
DE-02-0987-H1,-7.59899,-11.759578,-1
FR-01-0429-H1,-1.2170392,4.6674533,-1
IT-07-0111-H1,17.058613,7.574267,7
ES-01-0077-H1,2.15313,-10.104199,23
GR-02-0321-H1,0.6852142,0.62877417,-1
NY-01-0993-H2,6.8618155,-0.24047972,-1
DE-02-2533-H1,-15.1147175,-7.539866,5
CZ-01-0874-H1,-19.889574,-11.876656,4
SE-01-0989-H1,17.06262,7.5754285,7
DE-03-3292-H1,0.07325302,-21.089327,25
FR-01-1135-H1,2.2235105,-14.010524,18
DE-03-1246-H1,17.062645,7.5754457,7
RU-01-0630-H1,12.657707,-13.882712,28
DE-03-2536-H1,1.6620238,-9.347416,23
DE-02-1083-H1,12.657714,-13.882709,28
DE-03-1308-H1,16.946524,8.311492,7
DE-02-3168-H1,16.945751,8.310185,7
ES-01-0495-H1,16.94652,8.311422,7
CZ-01-1392-H1,16.946589,8.311548,7
GR-03-0410-H1,8.712598,-18.21706,-1
HU-01-0012-H1,-0.34217578,-21.19374,-1
UK-03-0356-H1,-4.619529,-17.367916,-1
ES-01-0402-H1,3.6567848,-10.3675585,23
NL-04-0060-H1,16.945337,8.30955,7
DE-02-1034-H1,-0.8046049,-9.119455,-1
GR-01-0542-H1,0.41989198,0.9994285,-1
IT-08-0197-H1,13.137932,-14.500648,28
GR-01-0145-H1,8.9800415,-15.483441,27
GR-03-0397-H1,14.452488,-13.294108,28
US-01-1099-H1,16.945736,8.310132,7
DE-02-2328-H1,16.612375,7.6956553,7
ES-01-0394-H1,2.6834521,-23.935465,24
NY-01-1054-H1,13.539848,-14.001543,28
DE-03-3544-H1,16.616583,7.696902,7
IT-02-0168-H1,16.946606,8.3116255,7
IT-02-0693-H1,1.8180199,-11.207245,23
NY-01-1300-H1,14.126532,-10.599006,20
DE-02-2900-H1,6.86179,-0.24041158,-1
DE-02-3584-H1,16.616993,7.69816,7
CZ-01-1639-H1,13.969622,-10.663012,20
IT-06-0005-H1,16.61238,7.695677,7
DE-03-1101-H1,16.946438,8.31136,7
DE-03-2217-H1,16.945091,8.309123,7
US-01-0733-H1,16.612383,7.695677,7
